,estado,qtde_focos,qtde_focos_relativa
0,PA,236382,17.560000000000002
1,MT,205386,15.260000000000002
2,MA,141108,10.48
3,AM,91976,6.83
4,TO,89630,6.660000000000001
5,RO,78560,5.84
6,PI,72186,5.36
7,BA,63872,4.75
8,MG,59828,4.45
9,MS,52217,3.88
10,AC,51207,3.8
11,GO,39745,2.9499999999999997
12,CE,26656,1.9800000000000002
13,SP,26581,1.97
14,PR,22872,1.7000000000000002
15,RR,17973,1.34
16,RS,17891,1.3299999999999998
17,SC,13469,1.0
18,AP,11386,0.8500000000000001
19,PE,6158,0.45999999999999996
20,PB,5371,0.4
21,RJ,4331,0.32
22,RN,3544,0.26
23,ES,3503,0.26
24,AL,1742,0.13
25,DF,1427,0.11
26,SE,882,0.06999999999999999
